image_id,brightness,edge_density,green_fraction,night_indicator
cct0001,0.5167569518089294,0.05291523411870003,0.3293372094631195,0
cct0002,0.5170773863792419,0.052976615726947784,0.32937702536582947,0
cct0003,0.5174731016159058,0.052985779941082,0.32936859130859375,0
cct0004,0.5297579765319824,0.04703615605831146,0.3294989764690399,0
cct0005,0.5298666954040527,0.047126829624176025,0.3294966220855713,0
cct0006,0.5301349759101868,0.0470409020781517,0.32951778173446655,0
cct0007,0.36243942379951477,0.029215006157755852,0.3292350172996521,1
cct0008,0.35363513231277466,0.029370326548814774,0.3292481601238251,1
cct0009,0.3534519374370575,0.02937830612063408,0.32924985885620117,1
cct0010,0.36170366406440735,0.02955278381705284,0.3292222321033478,1
cct0011,0.3508865535259247,0.029737506061792374,0.32926756143569946,1
cct0012,0.3497590720653534,0.02965754084289074,0.3292684257030487,1
cct0013,0.5297346711158752,0.08032423257827759,0.3351686894893646,0
cct0014,0.5277478098869324,0.08031462132930756,0.33536022901535034,0
cct0015,0.5258099436759949,0.08027380704879761,0.33555978536605835,0
cct0016,0.5169150233268738,0.06843283772468567,0.33100393414497375,0
cct0017,0.5164406895637512,0.06833207607269287,0.3311772644519806,0
cct0018,0.5168763399124146,0.06824778020381927,0.33113783597946167,0
cct0019,0.451629102230072,0.06897856295108795,0.33569228649139404,0
cct0020,0.4505951404571533,0.06888608634471893,0.33593207597732544,0
cct0021,0.4495652914047241,0.06876972317695618,0.33589261770248413,0
cct0022,0.5442700982093811,0.08071736991405487,0.33388832211494446,0
cct0023,0.5442511439323425,0.0807121992111206,0.33404508233070374,0
cct0024,0.5438332557678223,0.08063031733036041,0.3340218663215637,0
cct0025,0.5300612449645996,0.08120749145746231,0.3330810070037842,0
cct0026,0.5299313068389893,0.08125700056552887,0.33306512236595154,0
cct0027,0.5299875736236572,0.08123564720153809,0.33312612771987915,0
cct0028,0.49396079778671265,0.09369361400604248,0.3287651538848877,0
cct0029,0.49400046467781067,0.09374550729990005,0.3288915157318115,0
cct0030,0.49366676807403564,0.09364889562129974,0.32890230417251587,0
cct0031,0.3983139097690582,0.03368069976568222,0.3293069005012512,1
cct0032,0.4078196585178375,0.03350817412137985,0.32934245467185974,1
cct0033,0.39508405327796936,0.033179111778736115,0.3293392062187195,1
cct0034,0.5103743672370911,0.06701802462339401,0.3337283432483673,0
cct0035,0.5109509825706482,0.06714379787445068,0.3337801992893219,0
cct0036,0.5124653577804565,0.0672929584980011,0.3338494300842285,0
cct0037,0.5229073166847229,0.0693320482969284,0.34266433119773865,0
cct0038,0.5230141282081604,0.06941260397434235,0.34286314249038696,0
cct0039,0.5230007171630859,0.06938008964061737,0.34283268451690674,0
cct0040,0.2426655888557434,0.030022788792848587,0.3291487693786621,1
cct0041,0.23876085877418518,0.03051132522523403,0.3291967213153839,1
cct0042,0.23814362287521362,0.030495446175336838,0.32919126749038696,1
cct0043,0.17811188101768494,0.025511447340250015,0.32912677526474,1
cct0044,0.16975177824497223,0.026697378605604172,0.32915619015693665,1
cct0045,0.1699094921350479,0.02670459821820259,0.3291553258895874,1
cct0046,0.47615253925323486,0.060917459428310394,0.33242377638816833,0
cct0047,0.4762517511844635,0.06096029281616211,0.33254802227020264,0
cct0048,0.47616225481033325,0.0608946830034256,0.3325377404689789,0
cct0049,0.49424654245376587,0.05998724699020386,0.3310767114162445,0
cct0050,0.493218332529068,0.05994059517979622,0.3312121629714966,0
cct0051,0.4931930899620056,0.05993635579943657,0.33120664954185486,0
cct0052,0.17631147801876068,0.004629381466656923,0.3282139301300049,1
cct0053,0.2141367495059967,0.0062220338732004166,0.32854723930358887,1
cct0054,0.22709964215755463,0.006124368868768215,0.32863274216651917,1
cct0055,0.3661789298057556,0.04373054951429367,0.3556077778339386,0
cct0056,0.3667586147785187,0.04367810860276222,0.3548740744590759,0
